name;exk1F;exk1B;exk2F;exk2B;einteilung;ecol;mbaum;ssubstrat
Aleuria aurantia;1;0;0;0;Ascomycota;S;;S
Amanita vaginata;1;0;0;0;Agaricales;M;B;
Armillaria cepistipes;1;1;1;1;Agaricales;P/H;;
Calocera viscosa;0;0;1;0;Heterobasidiomycetes;S;;S
Cantharellus cibarius;1;0;0;0;Aphyllophorales;M;B;
Clavaria acuta;0;0;1;1;Agaricales;S;;S
Clitocybe (Lepista) nebularis;1;1;1;1;Agaricales;S;;S
Clitocybe gibba;0;0;1;0;Agaricales;S;;S
Collybia butyracea;0;0;1;0;Agaricales;S;;S
Collybia confluens;1;0;0;0;Agaricales;S;;H
Collybia dryophila;1;1;1;1;Agaricales;S;;S
Collybia maculata;1;1;1;0;Agaricales;S;;S
Coprinus silvaticus;0;1;0;1;Agaricales;S;;H
Cortinarius sanguineus;1;0;1;0;Agaricales;M;F;
Cortinarius semisanguineus;1;0;0;1;Agaricales;M;F;
Craterellus tubaeformis;1;0;0;0;Aphyllophorales;M;F;
Cystoderma carcharias;1;0;0;0;Agaricales;S;;S
Entoloma sinuatum;0;1;0;0;Agaricales;M;B;
Gymnopilus penetrans;1;1;1;0;Agaricales;S;;H
Hebeloma crustuliniforme;0;0;0;1;Agaricales;M;F;
Helvella crispa ;0;1;0;1;Ascomycota;M;B/F;
Hydnum repandum;0;0;1;0;Aphyllophorales;M;B/F;
Hygrophorus pustulatus;1;0;1;0;Agaricales;M;F;
Hypholoma capnoides;1;0;0;0;Agaricales;S;;H
Hypholoma fasciculare;1;1;1;1;Agaricales;S;;H
Inocybe cervicolor;1;0;1;1;Agaricales;M;NA;
Inocybe geophylla;1;0;0;1;Agaricales;M;B/F;
Ischnoderma benzoinum;0;1;0;1;Aphyllophorales;S;;H
Laccaria amethystea;1;1;1;1;Agaricales;M;B/F;
Laccaria laccata;1;0;0;0;Agaricales;M;B/F;
Lactarius rufus;1;1;1;1;Russulales;M;B/F;
Leotia lubrica;0;1;0;0;Ascomycota;S;;H
Lycoperdon perlatum;1;1;1;1;Agaricales;S;;S
Lycoperdon pyriforme;0;0;1;1;Agaricales;S;;H
Lycoperdon umbrinum;1;1;0;0;Agaricales;S;;H
Marasmius alliaceus;1;0;0;0;Agaricales;S;;S/H
Marasmius bulliardii;0;0;1;0;Agaricales;S;;S
Marasmius oreades;1;0;0;0;Agaricales;S;;S
Merulius tremellosus;0;0;0;1;Aphyllophorales;S;;H
Mutinus caninus;0;0;0;1;Phallomycetidae;S;;S
Mycena crocata;0;1;0;1;Agaricales;S;;S
Mycena pura;0;1;0;0;Agaricales;S;;S
Plicaturopsis crispa;0;1;0;1;Aphyllophorales;S;;H
Pluteus cervinus;1;1;0;0;Agaricales;S;;H
Postia caesia;1;0;1;0;Aphyllophorales;S;;H
Pseudoclitocybe obbata;0;0;0;1;Agaricales;S;;S/H
Rickenella fibula;1;0;0;0;Aphyllophorales;NA;;
Russula cyanoxantha;0;1;0;1;Russulales;M;B;
Russula nigricans;1;0;1;0;Russulales;M;B/F;
Russula ochroleuca;1;1;1;1;Russulales;M;B/F;
Russula queletii;1;0;1;0;Russulales;M;F;
Stereum hirsutum;0;1;0;0;Russulales;S;;H
Stropharia aeruginosa;1;1;1;1;Agaricales;S;;S/H
Trametes gibbosa;0;0;0;1;Aphyllophorales;S;;H
Trametes hirsuta;0;1;0;0;Aphyllophorales;S;;H
Trametes versicolor;0;1;0;0;Aphyllophorales;S;;H
Tremella mesenterica;1;0;0;0;Heterobasidiomycetes;P;;
Xerocomus badius;1;1;0;1;Boletales;M;F;
Xerocomus chrysenteron;1;0;1;0;Boletales;M;B/F;
Xylaria hypoxylon;1;0;0;0;Ascomycota;S;;H
